merchant_id,merchant_name,mcc,mcc_category,country,base_risk_multiplier
MERCH00379,Direct 0379 & Co,5967,Direct Marketing / Subscriptions,DE,1.4
MERCH00380,Utilities 0380 GmbH,4900,Utilities,IE,0.3
MERCH00381,Utilities 0381 SARL,4900,Utilities,PL,0.3
MERCH00382,Grocery 0382 SA,5411,Grocery Stores,NL,0.9
MERCH00383,Clothing 0383 SRL,5651,Clothing Stores,IT,1.0
MERCH00384,Restaurants 0384 BV,5812,Restaurants,FR,1.1
MERCH00385,Misc 0385 AB,5999,Misc Retail,ES,1.0
MERCH00386,Fuel 0386 Sp. z o.o.,5541,Fuel Stations,IT,0.8
MERCH00387,Jewelry 0387 Ltd,5944,Jewelry,PL,3.0
MERCH00388,Fuel 0388 Group,5541,Fuel Stations,FR,0.8
MERCH00389,Restaurants 0389 & Co,5812,Restaurants,ES,1.1
MERCH00390,Misc 0390 GmbH,5999,Misc Retail,FR,1.0
MERCH00391,Clothing 0391 SARL,5651,Clothing Stores,DE,1.0
MERCH00392,Jewelry 0392 SA,5944,Jewelry,IT,3.0
MERCH00393,Misc 0393 SRL,5999,Misc Retail,DE,1.0
MERCH00394,Clothing 0394 BV,5651,Clothing Stores,ES,1.0
MERCH00395,Crypto 0395 AB,6051,Crypto / Money Transfer,PL,3.5
MERCH00396,Direct 0396 Sp. z o.o.,5967,Direct Marketing / Subscriptions,DE,1.4
MERCH00397,Utilities 0397 Ltd,4900,Utilities,FR,0.3
MERCH00398,Jewelry 0398 Group,5944,Jewelry,DE,3.0
MERCH00399,Restaurants 0399 & Co,5812,Restaurants,DE,1.1
MERCH00400,Electronics 0400 GmbH,5732,Electronics,FR,1.6
MERCH00401,Clothing 0401 SARL,5651,Clothing Stores,ES,1.0
MERCH00402,Utilities 0402 SA,4900,Utilities,IE,0.3
MERCH00403,Electronics 0403 SRL,5732,Electronics,IT,1.6
MERCH00404,Clothing 0404 BV,5651,Clothing Stores,ES,1.0
MERCH00405,Jewelry 0405 AB,5944,Jewelry,DE,3.0
MERCH00406,Crypto 0406 Sp. z o.o.,6051,Crypto / Money Transfer,SE,3.5
MERCH00407,Jewelry 0407 Ltd,5944,Jewelry,IE,3.0
MERCH00408,Clothing 0408 Group,5651,Clothing Stores,SE,1.0
MERCH00409,Airlines 0409 & Co,4511,Airlines,NL,2.4
MERCH00410,Airlines 0410 GmbH,4511,Airlines,IT,2.4
MERCH00411,Jewelry 0411 SARL,5944,Jewelry,FR,3.0
MERCH00412,Hotels 0412 SA,7011,Hotels,ES,2.0
MERCH00413,Jewelry 0413 SRL,5944,Jewelry,ES,3.0
MERCH00414,Hotels 0414 BV,7011,Hotels,DE,2.0
MERCH00415,Airlines 0415 AB,4511,Airlines,FR,2.4
MERCH00416,Grocery 0416 Sp. z o.o.,5411,Grocery Stores,FR,0.9
MERCH00417,Direct 0417 Ltd,5967,Direct Marketing / Subscriptions,DE,1.4
MERCH00418,Clothing 0418 Group,5651,Clothing Stores,ES,1.0
MERCH00419,Crypto 0419 & Co,6051,Crypto / Money Transfer,ES,3.5
MERCH00420,Fuel 0420 GmbH,5541,Fuel Stations,SE,0.8
MERCH00421,Restaurants 0421 SARL,5812,Restaurants,FR,1.1
MERCH00422,Hotels 0422 SA,7011,Hotels,SE,2.0
MERCH00423,Crypto 0423 SRL,6051,Crypto / Money Transfer,NL,3.5
MERCH00424,Grocery 0424 BV,5411,Grocery Stores,PL,0.9
MERCH00425,Utilities 0425 AB,4900,Utilities,PL,0.3
MERCH00426,Crypto 0426 Sp. z o.o.,6051,Crypto / Money Transfer,FR,3.5
MERCH00427,Grocery 0427 Ltd,5411,Grocery Stores,IT,0.9
MERCH00428,Utilities 0428 Group,4900,Utilities,FR,0.3
MERCH00429,Utilities 0429 & Co,4900,Utilities,ES,0.3
MERCH00430,Hotels 0430 GmbH,7011,Hotels,NL,2.0
MERCH00431,Hotels 0431 SARL,7011,Hotels,ES,2.0
MERCH00432,Grocery 0432 SA,5411,Grocery Stores,PL,0.9
MERCH00433,Electronics 0433 SRL,5732,Electronics,IE,1.6
MERCH00434,Crypto 0434 BV,6051,Crypto / Money Transfer,FR,3.5
MERCH00435,Clothing 0435 AB,5651,Clothing Stores,PL,1.0
MERCH00436,Grocery 0436 Sp. z o.o.,5411,Grocery Stores,SE,0.9
MERCH00437,Hotels 0437 Ltd,7011,Hotels,IT,2.0
MERCH00438,Jewelry 0438 Group,5944,Jewelry,ES,3.0
MERCH00439,Hotels 0439 & Co,7011,Hotels,IT,2.0
MERCH00440,Grocery 0440 GmbH,5411,Grocery Stores,PL,0.9
MERCH00441,Grocery 0441 SARL,5411,Grocery Stores,NL,0.9
MERCH00442,Electronics 0442 SA,5732,Electronics,IT,1.6
MERCH00443,Electronics 0443 SRL,5732,Electronics,IT,1.6
MERCH00444,Airlines 0444 BV,4511,Airlines,FR,2.4
MERCH00445,Misc 0445 AB,5999,Misc Retail,SE,1.0
MERCH00446,Fuel 0446 Sp. z o.o.,5541,Fuel Stations,FR,0.8
MERCH00447,Jewelry 0447 Ltd,5944,Jewelry,ES,3.0
MERCH00448,Clothing 0448 Group,5651,Clothing Stores,IE,1.0
MERCH00449,Grocery 0449 & Co,5411,Grocery Stores,ES,0.9
